class,accuracy,macro_f1,precision,recall,f1,support
OVERALL,0.8987037037037037,0.8943542947806801,,,,
AnnualCrop,,,0.8931552587646077,0.8916666666666667,0.8924103419516264,600.0
Forest,,,0.9784768211920529,0.985,0.9817275747508306,600.0
HerbaceousVegetation,,,0.9107438016528926,0.9183333333333333,0.9145228215767635,600.0
Highway,,,0.7645687645687645,0.656,0.7061356297093649,500.0
Industrial,,,0.8687615526802218,0.94,0.9029779058597502,500.0
Pasture,,,0.9063291139240506,0.895,0.9006289308176101,400.0
PermanentCrop,,,0.831013916500994,0.836,0.8334995014955134,500.0
Residential,,,0.8477564102564102,0.8816666666666667,0.8643790849673203,600.0
River,,,0.9466403162055336,0.958,0.952286282306163,500.0
SeaLake,,,1.0,0.99,0.9949748743718593,600.0
