class,accuracy,macro_f1,precision,recall,f1,support
OVERALL,0.9885185185185185,0.9882536853220876,,,,
AnnualCrop,,,0.976897689768977,0.9866666666666667,0.9817578772802653,600.0
Forest,,,0.996661101836394,0.995,0.9958298582151793,600.0
HerbaceousVegetation,,,0.9883333333333333,0.9883333333333333,0.9883333333333333,600.0
Highway,,,0.9840637450199203,0.988,0.9860279441117764,500.0
Industrial,,,0.9939879759519038,0.992,0.992992992992993,500.0
Pasture,,,0.9924433249370277,0.985,0.9887076537013801,400.0
PermanentCrop,,,0.9741035856573705,0.978,0.9760479041916168,500.0
Residential,,,0.9983277591973244,0.995,0.996661101836394,600.0
River,,,0.9800796812749004,0.984,0.9820359281437125,500.0
SeaLake,,,0.9983193277310924,0.99,0.994142259414226,600.0
