class,accuracy,macro_f1,precision,recall,f1,support
OVERALL,0.9801851851851852,0.9795521005186467,,,,
AnnualCrop,,,0.9620462046204621,0.9716666666666667,0.966832504145937,600.0
Forest,,,0.995,0.995,0.995,600.0
HerbaceousVegetation,,,0.9716193656093489,0.97,0.9708090075062552,600.0
Highway,,,0.982,0.982,0.982,500.0
Industrial,,,0.9919678714859438,0.988,0.9899799599198397,500.0
Pasture,,,0.9607843137254902,0.98,0.9702970297029703,400.0
PermanentCrop,,,0.959758551307847,0.954,0.9568706118355065,500.0
Residential,,,0.996661101836394,0.995,0.9958298582151793,600.0
River,,,0.9758551307847082,0.97,0.9729187562688064,500.0
SeaLake,,,0.9983221476510067,0.9916666666666667,0.9949832775919732,600.0
