class,accuracy,macro_f1,precision,recall,f1,support
OVERALL,0.9818518518518519,0.981332158511486,,,,
AnnualCrop,,,0.97,0.97,0.97,600.0
Forest,,,0.9983333333333333,0.9983333333333333,0.9983333333333333,600.0
HerbaceousVegetation,,,0.9716193656093489,0.97,0.9708090075062552,600.0
Highway,,,0.9839679358717435,0.982,0.982982982982983,500.0
Industrial,,,0.9919678714859438,0.988,0.9899799599198397,500.0
Pasture,,,0.9727722772277227,0.9825,0.9776119402985075,400.0
PermanentCrop,,,0.952191235059761,0.956,0.9540918163672655,500.0
Residential,,,0.9966555183946488,0.9933333333333333,0.994991652754591,600.0
River,,,0.9760479041916168,0.978,0.977022977022977,500.0
SeaLake,,,0.998330550918197,0.9966666666666667,0.9974979149291076,600.0
