class,accuracy,macro_f1,precision,recall,f1,support
OVERALL,0.9864814814814815,0.9861769018090722,,,,
AnnualCrop,,,0.9721311475409836,0.9883333333333333,0.9801652892561984,600.0
Forest,,,0.9851973684210527,0.9983333333333333,0.9917218543046358,600.0
HerbaceousVegetation,,,0.9965635738831615,0.9666666666666667,0.9813874788494078,600.0
Highway,,,0.9860834990059643,0.992,0.9890329012961117,500.0
Industrial,,,1.0,0.98,0.98989898989899,500.0
Pasture,,,0.9824561403508771,0.98,0.981226533166458,400.0
PermanentCrop,,,0.9666666666666667,0.986,0.9762376237623762,500.0
Residential,,,0.9884678747940692,1.0,0.9942004971002486,600.0
River,,,0.9878787878787879,0.978,0.9829145728643216,500.0
SeaLake,,,0.9983221476510067,0.9916666666666667,0.9949832775919732,600.0
