class,accuracy,macro_f1,precision,recall,f1,support
OVERALL,0.9779629629629629,0.977595095142803,,,,
AnnualCrop,,,0.9714765100671141,0.965,0.9682274247491639,600.0
Forest,,,0.9724473257698542,1.0,0.9860312243221035,600.0
HerbaceousVegetation,,,0.9809688581314879,0.945,0.9626485568760611,600.0
Highway,,,0.9800796812749004,0.984,0.9820359281437125,500.0
Industrial,,,0.9959349593495935,0.98,0.9879032258064516,500.0
Pasture,,,0.9797979797979798,0.97,0.9748743718592965,400.0
PermanentCrop,,,0.930635838150289,0.966,0.9479882237487733,500.0
Residential,,,0.9867986798679867,0.9966666666666667,0.9917081260364843,600.0
River,,,0.9838056680161943,0.972,0.9778672032193159,500.0
SeaLake,,,0.9966666666666667,0.9966666666666667,0.9966666666666667,600.0
